Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
00000000000X,US,326,863,69.115.102.229,ool-457366e5.dyn.optonline.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.4.29 on Linux,0,0,2014-12-27,CABLE-NET-1 - Cablevision Systems Corp.- US,6128,894,None
0000Middleman,US,2,560,198.252.121.79,host-198-252-121-79.brdband.com,9029,9030,0,0,0,0,0,1,1,1,1,Tor 0.3.0.10 on Windows 7,0,0,2017-08-19,JC-39-AS - JEFFERSON CO. CABLE- INC.- US,54934,12,None
0000Userzap,DE,76,301,46.38.250.39,threepwood.userzap.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2013-11-23,NETCUP-AS netcup GmbH- DE,197540,216,None
000p,FI,308,128,94.22.93.92,d860.ip14.netikka.fi,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-03-19,ANVIA Silmukkatie 6- Vaasa- Finland- FI,15527,934,None
00brilliano001,US,362,94,192.155.83.101,brilliano.com,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2013-06-18,LINODE-AP Linode- LLC- US,63949,2090,None
00startmorenodes00,FR,0,7,92.243.30.208,xvm-30-208.ghst.net,4443,4453,0,0,1,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2014-12-27,GANDI-AS Domain name registrar - http://www.gandi.net- FR,29169,1600,None
01847,FR,1,877,81.56.96.154,4be54-1-81-56-96-154.fbx.proxad.net,21,None,0,0,0,0,0,1,1,1,1,Tor 0.2.9.11 on Linux,0,0,2017-07-19,PROXAD- FR,12322,23,None
0x000000000,US,1764,59,198.58.100.240,trnsz.com,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.3.3.0-alpha-dev on Linux,0,0,2016-09-30,LINODE-AP Linode- LLC- US,63949,2820,None
0x00A,CZ,67,23,81.2.247.119,119.247.forpsi.net,443,80,0,0,1,0,0,1,1,1,1,Tor 0.3.1.9 on Linux,0,0,2017-10-22,INTERNET-CZ Ktis 2- 384 03 Ktis- CZ,24806,266,None
0x00B,CZ,120,23,80.211.193.7,7.193.forpsi.net,443,80,0,0,1,0,0,1,1,1,1,Tor 0.3.1.9 on Linux,0,0,2017-07-06,INTERNET-CZ Ktis 2- 384 03 Ktis- CZ,24806,348,None
0x00d6d99a632e792d,US,2,1541,66.24.84.54,cpe-66-24-84-54.stny.res.rr.com,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.3.0.10 on Linux,0,0,2016-04-07,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC- US,11351,13,None
